athlete,fis_code,date,location,nation,category,discipline,rank,fis_points,cup_points
마준호,220950,2025-03-22,Engadin,,Qualification,Parallel Slalom,37,,
정해림,156415,2025-03-22,Engadin,,Qualification,Parallel Slalom,24,,
박서윤,261321,2025-03-21,Akan,,FIS,Slalom,DNF2,,
최태희,263315,2025-03-21,Akan,,FIS,Slalom,3,32.62,
이윤승,252896,2025-03-21,Engadin,,World Championships,Dual Moguls,17,140.00,
우수빈,229485,2025-03-21,Montafon,,World Cup,Snowboard Cross,37,,
변지영,188923,2025-03-21,Lahti,,World Cup,SP  F Final,92,,
변지영,188923,2025-03-21,Lahti,,Sprint Qualification,SP F Qual,92,145.43,
신영섭,233691,2025-03-21,St. Anton,,European Cup,Freeski Big Air,33,30.60,
이의진,221223,2025-03-21,Lahti,,World Cup,SP  F Final,68,,
이의진,221223,2025-03-21,Lahti,,Sprint Qualification,SP F Qual,68,211.92,
한다솜,162284,2025-03-21,Lahti,,World Cup,SP  F Final,69,,
한다솜,162284,2025-03-21,Lahti,,Sprint Qualification,SP F Qual,69,246.85,
이준서,229479,2025-03-21,Lahti,,Sprint Qualification,SP F Qual,93,154.25,
이준서,229479,2025-03-21,Lahti,,World Cup,SP  F Final,93,,
윤신이,258758,2025-03-21,Engadin,,World Championships,Dual Moguls,30,32.00,
홍승영,188936,2025-03-20,Engadin,,World Championships,Parallel Giant Slalom,40,18.50,
이상호,163744,2025-03-20,Engadin,,World Championships,Parallel Giant Slalom,3,600.00,
우수빈,229485,2025-03-20,Montafon,,Qualification,Snowboard Cross,37,,
김상겸,111837,2025-03-20,Engadin,,World Championships,Parallel Giant Slalom,15,160.00,
김상겸,111837,2025-03-20,Engadin,,Qualification,Parallel Giant Slalom,15,,
마준호,220950,2025-03-20,Engadin,,World Championships,Parallel Giant Slalom,33,24.00,
마준호,220950,2025-03-20,Engadin,,Qualification,Parallel Giant Slalom,33,,
홍승영,188936,2025-03-20,Engadin,,Qualification,Parallel Giant Slalom,40,,
이상호,163744,2025-03-20,Engadin,,Qualification,Parallel Giant Slalom,1,,
박서윤,261321,2025-03-20,Akan,,National Junior Championships,Slalom,27,72.74,
정해림,156415,2025-03-20,Engadin,,Qualification,Parallel Giant Slalom,DSQ,,
최태희,263315,2025-03-20,Akan,,National Junior Championships,Slalom,10,38.55,
정해림,156415,2025-03-20,Engadin,,World Championships,Parallel Giant Slalom,DSQ,,
윤신이,258758,2025-03-19,Engadin,,World Championships,Moguls,30,32.00,
이윤승,252896,2025-03-19,Engadin,,World Championships,Moguls,24,70.00,
정대윤,229480,2025-03-19,Engadin,,World Championships,Moguls,3,600.00,
이윤승,252896,2025-03-18,Engadin,,Qualification,Moguls,24,,
정대윤,229480,2025-03-18,Engadin,,Qualification,Moguls,13,,
윤신이,258758,2025-03-18,Engadin,,Qualification,Moguls,30,,
홍승영,188936,2025-03-16,Davos,,Qualification,Parallel Slalom,2,,
이준서,229479,2025-03-16,Oslo,,World Cup,10 km F,80,157.12,
최태희,263315,2025-03-16,Sapporo,,FIS,Slalom,1,32.09,
홍승영,188936,2025-03-16,Davos,,European Cup,Parallel Slalom,5,99.00,45.00
이의진,221223,2025-03-16,Oslo,,World Cup,10 km F,60,131.50,
한다솜,162284,2025-03-16,Oslo,,World Cup,10 km F,59,128.98,
변지영,188923,2025-03-16,Oslo,,World Cup,10 km F,74,120.63,
김건희,261977,2025-03-16,Laax,,National Junior Championships,Halfpipe,1,100.00,
이준서,229479,2025-03-15,Oslo,,World Cup,20 km C,67,126.67,
최태희,263315,2025-03-15,Sapporo,,FIS,Slalom,2,42.76,
정해림,156415,2025-03-15,Winterberg,,Qualification,Parallel Slalom,15,,
김상겸,111837,2025-03-15,Winterberg,,Qualification,Parallel Slalom,30,,
이의진,221223,2025-03-15,Oslo,,World Cup,20 km C,49,111.79,
김상겸,111837,2025-03-15,Winterberg,,World Cup,Parallel Slalom,30,32.00,1.00
변지영,188923,2025-03-15,Oslo,,World Cup,20 km C,69,132.85,
홍승영,188936,2025-03-15,Davos,,Qualification,Parallel Slalom,4,,
이상호,163744,2025-03-15,Winterberg,,World Cup,Parallel Slalom,5,450.00,45.00
정해림,156415,2025-03-15,Winterberg,,World Cup,Parallel Slalom,15,160.00,16.00
홍승영,188936,2025-03-15,Davos,,European Cup,Parallel Slalom,5,99.00,45.00
이상호,163744,2025-03-15,Winterberg,,Qualification,Parallel Slalom,1,,
정민식,189170,2025-03-14,Yongpyong Resort,,FIS,Giant Slalom,2,37.37,
신영섭,233691,2025-03-14,Laax,,European Cup Premium,Freeski Slopestyle,57,12.90,
이한희,188824,2025-03-14,Yongpyong Resort,,FIS,Giant Slalom,7,53.02,
정동현,93945,2025-03-14,Yongpyong Resort,,FIS,Giant Slalom,1,29.36,
박제윤,154866,2025-03-14,Yongpyong Resort,,FIS,Giant Slalom,3,42.39,
우수빈,229485,2025-03-14,Lenk,,European Cup,Snowboard Cross,35,5.20,
김동우,163740,2025-03-14,Yongpyong Resort,,FIS,Giant Slalom,4,44.30,
김소희,177571,2025-03-13,Sugadairakohgen,,National Championships,Giant Slalom,1,23.51,
우수빈,229485,2025-03-13,Lenk,,European Cup,Snowboard Cross,23,20.80,10.00
신정우,203604,2025-03-13,Sugadairakohgen,,National Championships,Giant Slalom,2,26.33,
김동우,163740,2025-03-13,Yongpyong Resort,,FIS,Giant Slalom,DNF2,,
이한희,188824,2025-03-13,Yongpyong Resort,,FIS,Giant Slalom,5,53.37,
박제윤,154866,2025-03-13,Yongpyong Resort,,FIS,Giant Slalom,2,42.80,
홍동관,163737,2025-03-13,Sugadairakohgen,,National Championships,Giant Slalom,6,32.08,
박서윤,261321,2025-03-13,Yongpyong Resort,,FIS,Giant Slalom,1,64.22,
정민식,189170,2025-03-13,Yongpyong Resort,,FIS,Giant Slalom,3,47.66,
정동현,93945,2025-03-13,Yongpyong Resort,,FIS,Giant Slalom,1,27.50,
신정우,203604,2025-03-12,Sugadairakohgen,,National Championships,Slalom,DNF1,,
김동우,163740,2025-03-12,Yongpyong Resort,,FIS,Slalom,DNF2,,
윤신이,258758,2025-03-12,Livigno,,World Cup,Dual Moguls,24,70.00,7.00
홍동관,163737,2025-03-12,Sugadairakohgen,,National Championships,Slalom,DNF1,,
김소희,177571,2025-03-12,Sugadairakohgen,,National Championships,Slalom,1,25.29,
박서윤,261321,2025-03-12,Yongpyong Resort,,FIS,Slalom,2,89.82,
정민식,189170,2025-03-12,Yongpyong Resort,,FIS,Slalom,DNF1,,
이한희,188824,2025-03-12,Yongpyong Resort,,FIS,Slalom,DNF1,,
정대윤,229480,2025-03-12,Livigno,,World Cup,Dual Moguls,DNS,,
최태희,263315,2025-03-12,Sugadairakohgen,,National Championships,Slalom,DNF2,,
박제윤,154866,2025-03-12,Yongpyong Resort,,FIS,Slalom,1,23.77,
정민식,189170,2025-03-11,Yongpyong Resort,,FIS,Slalom,3,38.30,
이한희,188824,2025-03-11,Yongpyong Resort,,FIS,Slalom,DNF1,,
최태희,263315,2025-03-11,Sugadairakohgen Kogen,,National Championships,Slalom,4,27.55,
정대윤,229480,2025-03-11,Livigno,,World Cup,Moguls,18,130.00,13.00
김동우,163740,2025-03-11,Yongpyong Resort,,FIS,Slalom,4,39.59,
김소희,177571,2025-03-11,Sugadairakohgen Kogen,,National Championships,Slalom,2,25.21,
윤신이,258758,2025-03-11,Livigno,,World Cup,Moguls,27,45.00,4.00
홍동관,163737,2025-03-11,Sugadairakohgen Kogen,,National Championships,Slalom,3,26.01,
박제윤,154866,2025-03-11,Yongpyong Resort,,FIS,Slalom,2,35.89,
신정우,203604,2025-03-11,Sugadairakohgen Kogen,,National Championships,Slalom,11,38.79,
정동현,93945,2025-03-11,Yongpyong Resort,,FIS,Slalom,1,23.00,
최태희,263315,2025-03-10,Sugadairakohgen Kogen,,National Championships,Giant Slalom,DNF1,,
홍승영,188936,2025-03-09,Montafon/Gargellen,,European Cup,Parallel Slalom,17,50.40,14.00
김동우,163740,2025-03-09,Yongpyong Resort,,FIS,Giant Slalom,1,37.98,
우수빈,229485,2025-03-09,Gudauri,,World Cup,Snowboard Cross,25,,8.00
홍동관,163737,2025-03-09,Sugadairakohgen Kogen,,National Championships,Giant Slalom,12,37.61,
이한희,188824,2025-03-09,Yongpyong Resort,,FIS,Giant Slalom,2,51.48,
신정우,203604,2025-03-09,Sugadairakohgen Kogen,,National Championships,Giant Slalom,3,26.81,
홍승영,188936,2025-03-08,Montafon/Gargellen,,European Cup,Parallel Giant Slalom,14,64.80,18.00
김건희,261977,2025-03-08,LAAX Kids Open,,Junior,Halfpipe,1,80.00,
김동우,163740,2025-03-08,Yongpyong Resort,,FIS,Giant Slalom,1,40.37,
우수빈,229485,2025-03-08,Gudauri,,World Cup,Snowboard Cross,28,,5.00
정동현,93945,2025-03-07,Hakuba,,Far East Cup,Slalom,2,18.54,80
홍동관,163737,2025-03-07,Hakuba,,Far East Cup,Slalom,DSQ2,,
김동우,163740,2025-03-07,Yongpyong Resort,,FIS,Slalom,DNF1,,
정민식,189170,2025-03-07,Hakuba,,Far East Cup,Slalom,DNF1,,
우수빈,229485,2025-03-07,Gudauri,,Qualification,Snowboard Cross,28,,
김소희,177571,2025-03-07,Hakuba,,Far East Cup,Slalom,6,38.94,40
박서윤,261321,2025-03-07,Hakuba,,Far East Cup,Slalom,DNF1,,
이한희,188824,2025-03-07,Hakuba,,Far East Cup,Slalom,20,34.40,11
박제윤,154866,2025-03-07,Hakuba,,Far East Cup,Slalom,DNF2,,
최태희,263315,2025-03-07,Hakuba,,Far East Cup,Slalom,8,42.10,32
신정우,203604,2025-03-07,Hakuba,,Far East Cup,Slalom,DSQ1,,
정민식,189170,2025-03-06,Hakuba,,Far East Cup,Slalom,20,30.42,11
이한희,188824,2025-03-06,Hakuba,,Far East Cup,Slalom,DNF2,,
박제윤,154866,2025-03-06,Hakuba,,Far East Cup,Slalom,DNF1,,
홍동관,163737,2025-03-06,Hakuba,,Far East Cup,Slalom,DNF1,,
정동현,93945,2025-03-06,Hakuba,,Far East Cup,Slalom,12,23.58,22
신정우,203604,2025-03-06,Hakuba,,Far East Cup,Slalom,DSQ2,,
한다솜,162284,2025-03-05,Trondheim,,Team Sprint Qualification,C,17,,
이준서,229479,2025-03-05,Trondheim,,Team Sprint Qualification,C Qual,26,,
마준호,220950,2025-03-05,High1resort,,Asian Cup,Parallel Slalom,1,180.00,100.00
이의진,221223,2025-03-05,Trondheim,,Team Sprint Qualification,C,17,,
한다솜,162284,2025-03-05,Trondheim,,World Championships,C,17,,
변지영,188923,2025-03-05,Trondheim,,World Championships,C Final,26,,
이의진,221223,2025-03-05,Trondheim,,World Championships,C,17,,
이준서,229479,2025-03-05,Trondheim,,World Championships,C Final,26,,
변지영,188923,2025-03-05,Trondheim,,Team Sprint Qualification,C Qual,26,,
조완희,188938,2025-03-05,High1resort,,Asian Cup,Parallel Slalom,2,144.00,80.00
한다솜,162284,2025-03-04,Trondheim,,World Championships,10 km C,63,187.01,
변지영,188923,2025-03-04,Trondheim,,World Championships,10 km C,82,139.10,
이준서,229479,2025-03-04,Trondheim,,World Championships,10 km C,87,146.27,
조완희,188938,2025-03-04,High1resort,,Asian Cup,Parallel Giant Slalom,1,180.00,100.00
이의진,221223,2025-03-04,Trondheim,,World Championships,10 km C,54,145.25,
마준호,220950,2025-03-04,High1resort,,Asian Cup,Parallel Giant Slalom,6,72.00,40.00
이지예,212563,2025-03-03,Alpensia Cross-Country Center,,FIS,15 km F Mst,3,258.34,
이진복,229490,2025-03-03,Alpensia Cross-Country Center,,FIS,30 km F Mst,1,100.99,
제상미,195562,2025-03-03,Alpensia Cross-Country Center,,FIS,15 km F Mst,1,160.04,
이건용,154934,2025-03-03,Alpensia Cross-Country Center,,FIS,30 km F Mst,2,101.01,
정종원,136287,2025-03-03,Alpensia Cross-Country Center,,FIS,30 km F Mst,DNF,,
김상겸,111837,2025-03-02,Krynica,,World Cup,Parallel Giant Slalom,3,600.00,60.00
김상겸,111837,2025-03-02,Krynica,,Qualification,Parallel Giant Slalom,5,,
정해림,156415,2025-03-02,Krynica,,World Cup,Parallel Giant Slalom,23,80.00,8.00
정종원,136287,2025-03-02,Alpensia Cross-Country Center,,FIS,15 km C Mst,4,143.15,
이상호,163744,2025-03-02,Krynica,,Qualification,Parallel Giant Slalom,4,,
정해림,156415,2025-03-02,Krynica,,Qualification,Parallel Giant Slalom,23,,
이상호,163744,2025-03-02,Krynica,,World Cup,Parallel Giant Slalom,7,360.00,36.00
제상미,195562,2025-03-02,Alpensia Cross-Country Center,,FIS,10 km C Mst,1,185.93,
홍승영,188936,2025-03-02,Krynica,,Qualification,Parallel Giant Slalom,26,,
홍승영,188936,2025-03-02,Krynica,,World Cup,Parallel Giant Slalom,26,50.00,5.00
이건용,154934,2025-03-02,Alpensia Cross-Country Center,,FIS,15 km C Mst,2,111.27,
이지예,212563,2025-03-02,Alpensia Cross-Country Center,,FIS,10 km C Mst,2,297.52,
이진복,229490,2025-03-02,Alpensia Cross-Country Center,,FIS,15 km C Mst,1,91.16,
정대윤,229480,2025-03-01,Almaty,,World Cup,Dual Moguls,4,500.00,50.00
이윤승,252896,2025-03-01,Almaty,,World Cup,Dual Moguls,32,26.00,
변지영,188923,2025-03-01,Trondheim,,World Championships,Skiathlon 10/10km C/F,80,252.89,
이한희,188824,2025-03-01,Jisan Forest Resort,,FIS,Slalom,DNS1,,
정해림,156415,2025-03-01,Krynica,,World Cup,Parallel Giant Slalom,11,240.00,24.00
홍승영,188936,2025-03-01,Krynica,,World Cup,Parallel Giant Slalom,40,18.50,
우수빈,229485,2025-03-01,Gore Mountain Ski Area,,Nor-Am Cup,Snowboard Cross,7,72.00,36.00
김상겸,111837,2025-03-01,Krynica,,World Cup,Parallel Giant Slalom,14,180.00,18.00
윤신이,258758,2025-03-01,Almaty,,World Cup,Dual Moguls,23,80.00,8.00
김상겸,111837,2025-03-01,Krynica,,Qualification,Parallel Giant Slalom,14,,
정해림,156415,2025-03-01,Krynica,,Qualification,Parallel Giant Slalom,10,,
홍승영,188936,2025-03-01,Krynica,,Qualification,Parallel Giant Slalom,40,,
이상호,163744,2025-03-01,Krynica,,World Cup,Parallel Giant Slalom,2,800.00,80.00
이상호,163744,2025-03-01,Krynica,,Qualification,Parallel Giant Slalom,3,,
김소희,177571,2025-02-28,Sugadairakohgen,,Far East Cup,Slalom,3,38.51,60
최태희,263315,2025-02-28,Sugadairakohgen,,Far East Cup,Slalom,6,54.27,40
홍동관,163737,2025-02-28,Sugadairakohgen,,Far East Cup,Slalom,DNF1,,
정대윤,229480,2025-02-28,Almaty,,World Cup,Moguls,2,800.00,80.00
정동현,93945,2025-02-28,Sugadairakohgen,,Far East Cup,Slalom,DNF1,,
박제윤,154866,2025-02-28,Sugadairakohgen,,Far East Cup,Slalom,DNF1,,
이한희,188824,2025-02-28,Sugadairakohgen,,Far East Cup,Slalom,DNF2,,
이윤승,252896,2025-02-28,Almaty,,World Cup,Moguls,DNF,,
우수빈,229485,2025-02-28,Gore Mountain Ski Area,,Nor-Am Cup,Snowboard Cross,19,24.00,14.00
윤신이,258758,2025-02-28,Almaty,,World Cup,Moguls,26,50.00,5.00
신정우,203604,2025-02-28,Sugadairakohgen,,Far East Cup,Slalom,DNF2,,
박서윤,261321,2025-02-28,Sugadairakohgen,,Far East Cup,Slalom,DNF1,,
정민식,189170,2025-02-28,Sugadairakohgen,,Far East Cup,Slalom,DNF1,,
이의진,221223,2025-02-27,Trondheim,,World Championships,SP  F Final,72,,
홍동관,163737,2025-02-27,Sugadairakohgen,,Far East Cup,Slalom,19,37.78,12
이의진,221223,2025-02-27,Trondheim,,Sprint Qualification,SP  F Qual,72,277.78,
정동현,93945,2025-02-27,Sugadairakohgen,,Far East Cup,Slalom,1,15.14,100
최태희,263315,2025-02-27,Sugadairakohgen,,Far East Cup,Slalom,5,40.19,45
신정우,203604,2025-02-27,Sugadairakohgen,,Far East Cup,Slalom,14,32.98,18
박서윤,261321,2025-02-27,Sugadairakohgen,,Far East Cup,Slalom,25,84.70,
이한희,188824,2025-02-27,Sugadairakohgen,,Far East Cup,Slalom,DNF1,,
한다솜,162284,2025-02-27,Trondheim,,World Championships,SP  F Final,70,,
박제윤,154866,2025-02-27,Sugadairakohgen,,Far East Cup,Slalom,DNF2,,
정민식,189170,2025-02-27,Sugadairakohgen,,Far East Cup,Slalom,DNF1,,
김소희,177571,2025-02-27,Sugadairakohgen,,Far East Cup,Slalom,DNF1,,
이준서,229479,2025-02-27,Trondheim,,Sprint Qualification,SP  F Qual,109,227.69,
한다솜,162284,2025-02-27,Trondheim,,Sprint Qualification,SP  F Qual,70,269.13,
이준서,229479,2025-02-27,Trondheim,,World Championships,SP  F Final,109,,
홍동관,163737,2025-02-26,Sugadairakohgen,,Far East Cup,Giant Slalom,DNF2,,
김동우,163740,2025-02-26,Yongpyong Resort,,FIS,Slalom,DNF1,,
박서윤,261321,2025-02-26,Sugadairakohgen,,Far East Cup,Giant Slalom,17,56.98,14
최태희,263315,2025-02-26,Sugadairakohgen,,Far East Cup,Giant Slalom,7,39.31,36
신정우,203604,2025-02-26,Sugadairakohgen,,Far East Cup,Giant Slalom,DSQ2,,
정동현,93945,2025-02-26,Sugadairakohgen,,Far East Cup,Giant Slalom,12,32.84,22
김소희,177571,2025-02-26,Sugadairakohgen,,Far East Cup,Giant Slalom,9,40.56,29
정민식,189170,2025-02-26,Sugadairakohgen,,Far East Cup,Giant Slalom,26,52.10,5
최태희,263315,2025-02-25,Sugadairakohgen,,Far East Cup,Giant Slalom,14,46.13,18
이한희,188824,2025-02-25,Yongpyong Resort,,FIS,Giant Slalom,DNF2,,
정민식,189170,2025-02-25,Sugadairakohgen,,Far East Cup,Giant Slalom,DNF1,,
정동현,93945,2025-02-25,Sugadairakohgen,,Far East Cup,Giant Slalom,DNF1,,
김동우,163740,2025-02-25,Yongpyong Resort,,FIS,Giant Slalom,1,43.78,
신영섭,233691,2025-02-25,Yongpyong,,National Championships,Freeski Big Air,1,50.00,
박서윤,261321,2025-02-25,Sugadairakohgen,,Far East Cup,Giant Slalom,DNF2,,
신정우,203604,2025-02-25,Sugadairakohgen,,Far East Cup,Giant Slalom,12,35.19,22
김소희,177571,2025-02-25,Sugadairakohgen,,Far East Cup,Giant Slalom,9,34.86,29
홍동관,163737,2025-02-25,Sugadairakohgen,,Far East Cup,Giant Slalom,18,42.94,13
김동우,163740,2025-02-24,Yongpyong Resort,,FIS,Giant Slalom,1,44.91,
신영섭,233691,2025-02-24,Yongpyong,,National Championships,Freeski Slopestyle,2,39.60,
이한희,188824,2025-02-24,Yongpyong Resort,,FIS,Giant Slalom,DNF1,,
홍승영,188936,2025-02-23,Lenzerheide,,National Championships,Giant Slalom,2,128.00,
정대윤,229480,2025-02-22,Beidahu,,World Cup,Dual Moguls,20,110.00,11.00
이윤승,252896,2025-02-22,Beidahu,,World Cup,Dual Moguls,22,90.00,9.00
이윤승,252896,2025-02-21,Beidahu,,World Cup,Moguls,38,19.10,
김건희,261977,2025-02-21,Calgary,,World Cup,Halfpipe,12,180.60,22.00
정대윤,229480,2025-02-21,Beidahu,,World Cup,Moguls,14,180.00,18.00
이지오,261333,2025-02-21,Calgary,,World Cup,Halfpipe,36,16.10,
이나윤,212759,2025-02-21,Calgary,,World Cup,Halfpipe,21,28.80,10.00
윤신이,258758,2025-02-20,O2 Resort,,FIS,Moguls,1,50.00,
김건희,261977,2025-02-19,Calgary,,Qualification,Halfpipe,7,,
이나윤,212759,2025-02-19,Calgary,,Qualification,Halfpipe,21,,
이지오,261333,2025-02-19,Calgary,,Qualification,Halfpipe,17,,
문희성,239278,2025-02-18,Phoenix Pyeongchang,,National Championships,Freeski Halfpipe,8,3.70,
신영섭,233691,2025-02-17,Phoenix Pyeongchang,,Asian Cup,Freeski Halfpipe,8,15.10,32.00
홍동관,163737,2025-02-16,Saalbach,,World Championships,Slalom,DNF1,,
정해림,156415,2025-02-16,Val St. Come,,World Cup,Parallel Giant Slalom,11,240.00,24.00
이상호,163744,2025-02-16,Val St. Come,,World Cup,Parallel Giant Slalom,20,110.00,11.00
이상호,163744,2025-02-16,Val St. Come,,Qualification,Parallel Giant Slalom,20,,
김상겸,111837,2025-02-16,Val St. Come,,Qualification,Parallel Giant Slalom,26,,
정해림,156415,2025-02-16,Val St. Come,,Qualification,Parallel Giant Slalom,8,,
김상겸,111837,2025-02-16,Val St. Come,,World Cup,Parallel Giant Slalom,26,50.00,5.00
최흥철,10064,2025-02-16,Sapporo,,Qualification,Large Hill HS137,56,,
문희성,239278,2025-02-15,Calgary,,World Cup,Freeski Halfpipe,DNS,,
장유진,203633,2025-02-15,Calgary,,World Cup,Freeski Halfpipe,16,65.60,15.00
홍동관,163737,2025-02-15,Saalbach,,FIS Qualification,Slalom,21,46.31,
정해림,156415,2025-02-15,Val St. Come,,World Cup,Parallel Giant Slalom,5,450.00,45.00
김상겸,111837,2025-02-15,Val St. Come,,Qualification,Parallel Giant Slalom,29,,
정해림,156415,2025-02-15,Val St. Come,,Qualification,Parallel Giant Slalom,4,,
김상겸,111837,2025-02-15,Val St. Come,,World Cup,Parallel Giant Slalom,29,36.00,2.00
이상호,163744,2025-02-15,Val St. Come,,Qualification,Parallel Giant Slalom,20,,
이상호,163744,2025-02-15,Val St. Come,,World Cup,Parallel Giant Slalom,20,110.00,11.00
장유진,203633,2025-02-14,Calgary,,Qualification,Freeski Halfpipe,16,,
최흥철,10064,2025-02-14,Sapporo,,Qualification,Large Hill HS137,55,,
홍동관,163737,2025-02-14,Saalbach,,World Championships,Giant Slalom,DNF1,,
문희성,239278,2025-02-14,Calgary,,Qualification,Freeski Halfpipe,DNS,,
신정우,203604,2025-02-14,Saalbach,,World Championships,Giant Slalom,42,73.61,
홍동관,163737,2025-02-13,Saalbach,,FIS Qualification,Giant Slalom,16,58.86,
윤신이,258758,2025-02-13,O2 Resort,,Asian Cup,Moguls,10,67.60,26.00
이윤승,252896,2025-02-13,O2 Resort,,Asian Cup,Moguls,4,180.00,50.00
정대윤,229480,2025-02-13,O2 Resort,,Asian Cup,Moguls,1,360.00,100.00
한다솜,162284,2025-02-12,Harbin,,FIS,Rel 4x5 km M,4,,
정종원,136287,2025-02-12,Harbin,,FIS,Rel 4x7.5 km M,4,,
이지오,261333,2025-02-12,Yabuli Ski Resort,,Asian Winter Games,Halfpipe,3,234.40,
이의진,221223,2025-02-12,Harbin,,FIS,Rel 4x5 km M,4,,
이건용,154934,2025-02-12,Harbin,,FIS,Rel 4x7.5 km M,4,,
제상미,195562,2025-02-12,Harbin,,FIS,Rel 4x5 km M,4,,
이준서,229479,2025-02-12,Harbin,,FIS,Rel 4x7.5 km M,4,,
이채운,239112,2025-02-12,Yabuli Ski Resort,,Asian Winter Games,Halfpipe,6,118.80,
김건희,261977,2025-02-12,Yabuli Ski Resort,,Asian Winter Games,Halfpipe,1,360.00,
변지영,188923,2025-02-12,Harbin,,FIS,Rel 4x7.5 km M,4,,
신영섭,233691,2025-02-12,Yabuli Ski Resort,,Asian Winter Games,Freeski Big Air,3,22.70,
이지예,212563,2025-02-12,Harbin,,FIS,Rel 4x5 km M,4,,
이나윤,212759,2025-02-12,Yabuli Ski Resort,,Asian Winter Games,Halfpipe,7,71.60,
신영섭,233691,2025-02-11,Yabuli Ski Resort,,Asian Winter Games,Freeski Slopestyle,5,26.70,
이준서,229479,2025-02-10,Harbin,,FIS,10 km F,14,131.01,
정종원,136287,2025-02-10,Harbin,,FIS,10 km F,12,111.93,
유승은,261339,2025-02-10,Yabuli Ski Resort,,Asian Winter Games,Big Air,4,58.80,
이동헌,239111,2025-02-10,Yabuli Ski Resort,,Asian Winter Games,Big Air,DNS,,
변지영,188923,2025-02-10,Harbin,,FIS,10 km F,11,105.87,
이건용,154934,2025-02-10,Harbin,,FIS,10 km F,13,130.44,
제상미,195562,2025-02-09,Harbin,,FIS,5 km F,15,341.00,
이의진,221223,2025-02-09,Harbin,,FIS,5 km F,12,310.98,
박제윤,154866,2025-02-09,Yabuli Ski Resort,,Asian Winter Games,Slalom,4,34.68,
이지예,212563,2025-02-09,Harbin,,FIS,5 km F,16,344.30,
정동현,93945,2025-02-09,Yabuli Ski Resort,,Asian Winter Games,Slalom,2,31.04,
홍동관,163737,2025-02-09,Yabuli Ski Resort,,Asian Winter Games,Slalom,DNF2,,
장선웅,270266,2025-02-09,Eisenerz,,FIS Cup,Normal Hill HS109,26,,
한다솜,162284,2025-02-09,Harbin,,FIS,5 km F,11,309.44,
정민식,189170,2025-02-09,Yabuli Ski Resort,,Asian Winter Games,Slalom,5,39.98,
이준서,229479,2025-02-08,Harbin,,FIS,SP  C Qual,16,,
이채운,239112,2025-02-08,Yabuli Ski Resort,,Asian Winter Games,Slopestyle,1,130.00,
이의진,221223,2025-02-08,Harbin,,FIS,SP  C Final,12,,
이의진,221223,2025-02-08,Harbin,,FIS,SP  C Qual,12,400.15,
김소희,177571,2025-02-08,Yabuli Ski Resort,,Asian Winter Games,Slalom,2,27.37,
문희성,239278,2025-02-08,Yabuli Ski Resort,,Asian Winter Games,Freeski Halfpipe,3,119.40,
한다솜,162284,2025-02-08,Harbin,,FIS,SP  C Final,13,,
정대윤,229480,2025-02-08,Deer Valley,,World Cup,Dual Moguls,4,500.00,50.00
이진복,229490,2025-02-08,Harbin,,FIS,SP  C Qual,13,340.84,
이건용,154934,2025-02-08,Harbin,,FIS,SP  C Qual,11,328.53,
한다솜,162284,2025-02-08,Harbin,,FIS,SP  C Qual,13,424.84,
이동헌,239111,2025-02-08,Yabuli Ski Resort,,Asian Winter Games,Slopestyle,DNS,,
유승은,261339,2025-02-08,Yabuli Ski Resort,,Asian Winter Games,Slopestyle,5,29.90,
최태희,263315,2025-02-08,Yabuli Ski Resort,,Asian Winter Games,Slalom,DNF1,,
이윤승,252896,2025-02-08,Deer Valley,,World Cup,Dual Moguls,31,28.00,
이승훈,235622,2025-02-08,Yabuli Ski Resort,,Asian Winter Games,Freeski Halfpipe,1,200.00,
장선웅,270266,2025-02-08,Eisenerz,,FIS Cup,Normal Hill HS109,35,,
이지예,212563,2025-02-08,Harbin,,FIS,SP  C Final,16,,
장유진,203633,2025-02-08,Yabuli Ski Resort,,Asian Winter Games,Freeski Halfpipe,3,150.80,
변지영,188923,2025-02-08,Harbin,,FIS,SP  C Qual,18,378.77,
이지예,212563,2025-02-08,Harbin,,FIS,SP  C Qual,17,492.79,
박서윤,261321,2025-02-08,Yabuli Ski Resort,,Asian Winter Games,Slalom,6,74.14,
신정우,203604,2025-02-07,Alpensia Resort,,Far East Cup,Slalom,17,34.09,14
이한희,188824,2025-02-07,Alpensia Resort,,Far East Cup,Slalom,7,28.67,36
김동우,163740,2025-02-07,Alpensia Resort,,Far East Cup,Slalom,28,47.74,3
김동우,163740,2025-02-06,Alpensia Resort,,Far East Cup,Slalom,24,47.66,7
정대윤,229480,2025-02-06,Deer Valley,,World Cup,Moguls,42,17.90,
이윤승,252896,2025-02-06,Deer Valley,,World Cup,Moguls,11,240.00,24.00
신정우,203604,2025-02-06,Alpensia Resort,,Far East Cup,Slalom,17,36.86,14
이한희,188824,2025-02-06,Alpensia Resort,,Far East Cup,Slalom,5,24.45,45
김동우,163740,2025-02-04,Yongpyong Resort,,Far East Cup,Giant Slalom,27,74.06,4
이한희,188824,2025-02-04,Yongpyong Resort,,Far East Cup,Giant Slalom,18,48.81,13
박제윤,154866,2025-02-04,Yongpyong Resort,,Far East Cup,Giant Slalom,20,50.12,11
신정우,203604,2025-02-04,Yongpyong Resort,,Far East Cup,Giant Slalom,9,36.18,29
최태희,263315,2025-02-04,Yongpyong Resort,,Far East Cup,Giant Slalom,8,41.75,32
